nodeID,parentID,hierarchyLevel,drillState,companyName,salesOrderID,itemPosition,city,country,convertedAmount,currency,salesOrderCount
C-AVANTEL,,1,expanded,AVANTEL,,,Mexico City,MX,926663.53,MXN,25
O-AVANTEL-600000001,C-AVANTEL,2,collapsed,AVANTEL,600000001,,Mexico City,MX,253065.75,MXN,10
I-AVANTEL-600000001-10,O-AVANTEL-600000001,3,leaf,AVANTEL,600000001,10,Mexico City,MX,154320.5,MXN,5
I-AVANTEL-600000001-20,O-AVANTEL-600000001,3,leaf,AVANTEL,600000001,20,Mexico City,MX,98745.25,MXN,5
O-AVANTEL-600000002,C-AVANTEL,2,collapsed,AVANTEL,600000002,,Mexico City,MX,401080.78,MXN,10
I-AVANTEL-600000002-10,O-AVANTEL-600000002,3,leaf,AVANTEL,600000002,10,Mexico City,MX,213450.78,MXN,5
I-AVANTEL-600000002-20,O-AVANTEL-600000002,3,leaf,AVANTEL,600000002,20,Mexico City,MX,187630,MXN,5
O-AVANTEL-600000003,C-AVANTEL,2,collapsed,AVANTEL,600000003,,Mexico City,MX,272517,MXN,5
I-AVANTEL-600000003-10,O-AVANTEL-600000003,3,leaf,AVANTEL,600000003,10,Mexico City,MX,272517,MXN,5
C-Asia High tech,,1,expanded,Asia High tech,,,100-0004 Tokyo,JP,14428896,JPY,450
O-Asia High tech-500000003,C-Asia High tech,2,collapsed,Asia High tech,500000003,,100-0004 Tokyo,JP,93124,JPY,50
I-Asia High tech-500000003-10,O-Asia High tech-500000003,3,leaf,Asia High tech,500000003,10,100-0004 Tokyo,JP,56973,JPY,10
I-Asia High tech-500000003-20,O-Asia High tech-500000003,3,leaf,Asia High tech,500000003,20,100-0004 Tokyo,JP,1128,JPY,10
I-Asia High tech-500000003-30,O-Asia High tech-500000003,3,leaf,Asia High tech,500000003,30,100-0004 Tokyo,JP,8829,JPY,10
I-Asia High tech-500000003-40,O-Asia High tech-500000003,3,leaf,Asia High tech,500000003,40,100-0004 Tokyo,JP,23077,JPY,10
I-Asia High tech-500000003-50,O-Asia High tech-500000003,3,leaf,Asia High tech,500000003,50,100-0004 Tokyo,JP,3117,JPY,10
O-Asia High tech-500000004,C-Asia High tech,2,collapsed,Asia High tech,500000004,,100-0004 Tokyo,JP,84316,JPY,50
I-Asia High tech-500000004-10,O-Asia High tech-500000004,3,leaf,Asia High tech,500000004,10,100-0004 Tokyo,JP,24552,JPY,10
